"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","DIGIKEY_PART_NUMBER","MANUFACTURER","MANUFACTURER_PART_NUMBER","Description"
"C23","1","0.1uF","","","","","","","","","Unpolarized capacitor"
"C24","1","0.1uF","","","","","","","","","Unpolarized capacitor"
"C25","1","0.1uF","","","","","","","","","Unpolarized capacitor"
"C26","1","0.1uF","","","","","","","","","Unpolarized capacitor"
"C27","1","4.7uF","","","","0805","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","445-5972-1-ND","TDK","C2012X7R1E475K125AB","CAP CER 4.7UF 25V X7R 0805"
"C28","1","1uF","","","","","","","","","Unpolarized capacitor"
"C29","1","12pF","","","","","","","","","Unpolarized capacitor"
"C30","1","4.7uF","","","","","","","","","Unpolarized capacitor"
"C31","1","12pF","","","","","","","","","Unpolarized capacitor"
"C32","1","10uF","","","","1206","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","445-7705-1-ND","TDK","C3216X7R1E106K160AB","CAP CER 10UF 25V X7R 1206"
"C33","1","4.7uF","","","","","","","","","Unpolarized capacitor"
"C34","1","2.2uF","","","","","","","","","Unpolarized capacitor"
"C35","1","0.1uF","","","","","","","","","Unpolarized capacitor"
