Ref,Qty,Value,Footprint,Dielectric/Type,Voltage,Tolerance,Power/Current,Manufacturer,MPN,Description,Status,Notes,Sheet
R8,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,PoE
R9,1,1.5M,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1504X,RES 1.5M 1% 1/10W 0402,STD,,PoE
R10,1,1.5M,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1504X,RES 1.5M 1% 1/10W 0402,STD,,PoE
R11,1,1.5M,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1504X,RES 1.5M 1% 1/10W 0402,STD,,PoE
R12,1,1.5M,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1504X,RES 1.5M 1% 1/10W 0402,STD,,PoE
R13,1,232,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2320X,RES 232 1% 1/10W 0402,STD,,PoE
R14,1,909,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF9090X,RES 909 1% 1/10W 0402,STD,,PoE
R15,1,26.1k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2612X,RES 26.1k 1% 1/10W 0402,STD,,PoE
R16,1,25m,R_1206_3216Metric,Metal-strip shunt,,0.5%,1/2W,,,RES 25m SENSE 0.5% 1206,SHUNT-REVIEW,"PD hot-swap current-limit sense (VOUT_N/Q2-S, NCP1095) - NOT an INA228 shunt; confirm value vs final full-scale current, pick 0.5% or 4-terminal",PoE
R17,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,PoE
R18,1,24.9k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2492X,RES 24.9k 1% 1/10W 0402,STD,,PoE
R19,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,PoE
R20,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,PoE
R21,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,PoE
