"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","DIGIKEY_PART_NUMBER","MANUFACTURER","MANUFACTURER_PART_NUMBER","Description"
"J6","1","622-009-260-033","","","","","https://files.edac.net/edac/content/series/og/English/EDAC%20621%20622%20Series%20D-sub%20Connectors%20English%20Ordering%20Guide.pdf","151-622-009-260-033-ND","EDAC Inc.","622-009-260-033","DE-9 socket (RS-232) - assign PN"
"J7,J8,J9,J15","4","SMA-J-P-H-RA-TH1","","","","","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6129/sma-j-p-x-ra-th1-mkt.pdf","SAM8856-ND","Samtec Inc.","SMA-J-P-H-RA-TH1","SMA coax connector - assign PN"
"J10","1","OSTVN02A150","","","","","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1123/OSTVNXXA150.pdf","ED10561-ND","On Shore Technology Inc.","OSTVN02A150","TERM BLK 2P SIDE ENT 2.54MM PCB"
"J16","1","OSTVN06A150","","","","","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1123/OSTVNXXA150.pdf","ED10565-ND","On Shore Technology Inc.","OSTVN06A150","TERM BLK 6P SIDE ENT 2.54MM PCB"
"J17","1","1787179","","","","","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/573/1787179.pdf","277-8750-ND","Phoenix Contact","1787179","TERM BLOCK HDR 36POS 3.50MM"
"K1,K2","2","G6K-2F-Y DC3","","","","","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/8931/G6K-T1_Datasheet_EN.pdf","39-G6K-2F-YDC3-ND","Aratas America LLC","G6K-2F-Y DC3","RELAY TELECOM DPDT 1A 3V"
"L1","1","47nH","","","","0402 (1005 Metric)","https://search.murata.co.jp/Ceramy/image/img/P02/JELF243B-0010.pdf","490-2631-1-ND","Murata","LQG15HS47NJ02D","FIXED IND 47NH 300MA 720 MOHM"
"L2","1","6.8uH","","","","","https://www.bourns.com/docs/Product-Datasheets/SRP1265A.pdf","SRP1265A-6R8MTR-ND","Bourns Inc.","SRP1265A-6R8M","IND 6.8uH 11.5A"
"L3,L4,L5,L6","4","2.2uH","","","","","https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-dr-high-power-density-high-efficiency-shielded-drum-core-power-inductors-data-sheet.pdf","283-DR73-2R2-RTR-ND","Eaton - Electronics Division","DR73-2R2-R","IND 2.2uH 4.15A"
"L7","1","39uH","","","","","https://www.we-online.com/components/products/datasheet/7447709390.pdf","732-7447709390CT-ND","Würth Elektronik","7447709390","FIXED IND 39UH 4.1A 56 MOHM SMD"
"L8,L9","2","600 100MHz","","","","0805 (2012 Metric)","https://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19181","1934-1487-2-ND","Fair-Rite Products Corp.","2508056017Y2","FERRITE BEAD 600 OHM 0805 3LN"
"L10","1","PGB1010603MR","","","","0603 (1608 Metric)","https://www.littelfuse.com/assetdocs/pulseguard-esd-suppressors-pgb1-datasheet?assetguid=8a337998-d54d-466b-be4e-dc5bcd1f9321","F2594CT-ND","Littelfuse","PGB1010603MR","TVS DIODE 24VWM 150VC 603"
"Q1,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q14,Q15,Q16,Q18,Q19,Q20,Q21,Q23,Q24,Q26","18","BC847W","","","","SOT-323","https://assets.nexperia.com/documents/data-sheet/BC847XW_SER.pdf","1727-BC847W,135CT-ND","Nexperia USA Inc.","BC847W,135","TRANS NPN 45V 0.1A SOT-323"
"Q2","1","FDMC8622","","","","8-PowerWDFN","https://www.onsemi.com/pdf/datasheet/fdmc8622-d.pdf","FDMC8622CT-ND","onsemi","FDMC8622","MOSFET N-CH 100V 4A/16A 8MLP"
"Q3,Q12,Q13,Q17","4","BC857W","","","","SOT-323","https://assets.nexperia.com/documents/data-sheet/BC856W_BC857W_BC858W.pdf","1727-BC857W,135CT-ND","Nexperia USA Inc.","BC857W,135","TRANS PNP 45V 0.1A SOT-323"
"Q11,Q22","2","NSS40300MZ4T1G","","","","SOT-223 (TO-261)","https://www.onsemi.com/pdf/datasheet/nss40300mz4-d.pdf","NSS40300MZ4T1GOSCT-ND","onsemi","NSS40300MZ4T1G","TRANS PNP 40V 3A SOT223"
"Q25","1","SI7469DP-T1-E3","","","","PowerPAK® SO-8","https://www.vishay.com/docs/73438/si7469dp.pdf","SI7469DP-T1-E3CT-ND","Vishay","SI7469DP-T1-E3","MOSFET P-CH 80V 28A PPAK SO-8"
"R1,R65,R141,R231","4","1M","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P1.00MLCT-ND","Panasonic Industry","ERJ-2RKF1004X","RES SMD 1M OHM 1% 1/10W 0402"
"R2","1","1.2M","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/DMM0000COL9.pdf","10-ERJ-U02F1204XCT-ND","Panasonic Industry","ERJ-U02F1204X","RES 1.2M OHM 1% 1/10W 0402"
"R3","1","39.2k","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P39.2KLCT-ND","Panasonic Industry","ERJ-2RKF3922X","RES SMD 39.2K OHM 1% 1/10W 0402"
"R4,R264","2","174k","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P174KLCT-ND","Panasonic Industry","ERJ-2RKF1743X","RES SMD 174K OHM 1% 1/10W 0402"
"R5,R8,R19,R21,R29,R68,R69,R78,R80,R81,R82,R85,R91,R108,R109,R110,R111,R118,R119,R120,R133,R146,R152,R164,R176,R182,R188,R213,R237,R244,R257","31","100k","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P100KLCT-ND","Panasonic Industry","ERJ-2RKF1003X","RES 100K OHM 1% 1/10W 0402"
"R6,R238,R245","3","2M","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/DMM0000COL9.pdf","10-ERJ-U02F2004XCT-ND","Panasonic Industry","ERJ-U02F2004X","RES 2M OHM 1% 1/10W 0402"
"R7,R55,R122,R181","4","1k","","","","0402 (1005 Metric)","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P1.00KLCT-ND","Panasonic Industry","ERJ-2RKF1001X","RES SMD 1K OHM 1% 1/10W 0402"
